state,year,population,hospital_bed,bed_utilise,bed_per_1k
Johor,2024,4186600.0000000005,2104,0.263,1
Kedah,2024,2217100,2531,0.789,1
Kelantan,2024,1888400,1805,0.325,1
Melaka,2024,1046800,1269,0.802,1
Negeri Sembilan,2024,1239700,1209,0.667,1
Pahang,2024,1668300,1342,0.728,1
Perak,2024,2569800,3232,0.699,1
Perlis,2024,296700,491,0.831,2
Pulau Pinang,2024,1800400,1877,0.352,1
Sabah,2024,3742500,2313,0.751,1
Sarawak,2024,2518400,3486,0.618,1
Selangor,2024,7363300,4672,0.45,1
Terengganu,2024,1231900,1379,0.765,1
W.P. Kuala Lumpur,2024,2066800.0000000002,2268,0.257,1
W.P. Labuan,2024,100900,115,0,1
W.P. Putrajaya,2024,119800,767,0.407,6
